"","T_MAPCODE","T_BIOME","tar_sa","tar_gbf","ext_veg","ext_vegrem","ext_vegpa24","ext_vegrempa24","ext_invpa24","prp_pa_base24","ext_tar_sa","ext_tar_gbf","epl_base24","epl_nat24","ext_vegrempa_inv24","epl_nat_inv24"
"216","AT22","Albany Thicket",19,30,215.488,92.3968,0.0028,0.0028,0,0.000012993762993763,40.94272,64.6464,"NP","NP",0.0028,"NP"
"217","AT23","Albany Thicket",19,30,311.1928,268.2796,54.5952,54.0752,0,0.175438506289349,59.126632,93.35784,"MP","MP",54.0752,"MP"
"218","AT28","Albany Thicket",19,30,1030.5104,908.232,77.288,74.8196,0.9856,0.0749997282899813,195.796976,309.15312,"PP","PP",74.12968,"PP"
"219","AT30","Albany Thicket",19,30,674.0584,625.3256,139.2856,134.4504,0,0.206637288401124,128.071096,202.21752,"WP","WP",134.4504,"WP"
"220","AT32","Albany Thicket",19,30,3596.184,3450.6652,515.656,511.228,0.5712,0.143389770934969,683.27496,1078.8552,"MP","MP",510.82816,"MP"
"221","AT35","Albany Thicket",19,30,30.1476,18.3744,10.2684,5.7008,0,0.340604227202165,5.728044,9.04428,"WP","MP",5.7008,"MP"
"222","AT42","Albany Thicket",19,30,59.8564,51.7304,0,0,0,0,11.372716,17.95692,"NP","NP",0,"NP"
"223","AT47","Albany Thicket",19,30,910.5756,886.1536,40.4772,39.6988,0,0.0444523222454017,173.009364,273.17268,"PP","PP",39.6988,"PP"
"224","AT52","Albany Thicket",19,30,43.5968,30.2416,3.5612,3.5052,0.0004,0.0816848943041691,8.283392,13.07904,"PP","PP",3.50492,"PP"
"225","AT17","Albany Thicket",19,30,729.2028,576.74,140.3128,124.8788,1.0876,0.192419447648857,138.548532,218.76084,"WP","MP",124.11748,"MP"
"226","AT20","Albany Thicket",19,30,35.5164,20.0016,0.332,0.2924,0.0176,0.00934779425842709,6.748116,10.65492,"NP","NP",0.28008,"NP"
"227","AT39","Albany Thicket",19,30,245.8596,216.984,31.8152,21.0384,0,0.129403936230271,46.713324,73.75788,"MP","PP",21.0384,"PP"
"228","AT44","Albany Thicket",19,30,163.4576,63.2552,0.0368,0.0308,0,0.000225134836189936,31.056944,49.03728,"NP","NP",0.0308,"NP"
"229","AT48","Albany Thicket",19,30,20.3768,11.6912,0,0,0,0,3.871592,6.11304,"NP","NP",0,"NP"
"230","AT53","Albany Thicket",19,30,27.1028,16.5496,13.2324,9.4188,1.81,0.488229998376551,5.149532,8.13084,"WP","WP",8.1518,"WP"
"231","AZa7","Azonal Vegetation",31,30,1286.1356,859.3644,626.4364,551.2388,1.8104,0.487068704108649,398.702036,385.84068,"WP","WP",549.97152,"WP"
"232","AZd4","Azonal Vegetation",20,30,28.082,26.27,16.458,16.2668,0.0004,0.586069368278613,5.6164,8.4246,"WP","WP",16.26652,"WP"
"233","AZs3","Azonal Vegetation",20,30,12.9664,11.972,10.9992,10.878,0,0.8482847976308,2.59328,3.88992,"WP","WP",10.878,"WP"
"234","AZa4","Azonal Vegetation",31,30,1787.3464,1248.4128,60.292,53.2596,0.7528,0.0337326888621031,554.077384,536.20392,"PP","PP",52.73264,"PP"
"235","FOz5","Forests",22,30,825.652,753.0296,231.29,224.11,0.4128,0.280130127462902,181.64344,247.6956,"WP","WP",223.82104,"WP"
"236","FOa2","Forests",35,30,100.502,72.8692,48.916,41.0616,0.0084,0.48671668225508,35.1757,30.1506,"WP","WP",41.05572,"WP"
"237","SVs6","Savanna",25,30,10185.4844,7037.5756,35.4548,27.788,5.8068,0.0034809144668662,2546.3711,3055.64532,"NP","NP",23.72324,"NP"
"238","FOz7","Forests",18,30,680.3856,514.9484,370.4128,329.426,0.4272,0.544415989991558,122.469408,204.11568,"WP","WP",329.12696,"WP"
"239","FOz2","Forests",22,30,214.0732,182.4208,93.4476,89.3248,2.1556,0.436521713133638,47.096104,64.22196,"WP","WP",87.81588,"WP"
"240","FOz3","Forests",20,30,1062.2748,884.3512,181.22,170.6052,1.678,0.170596158357517,212.45496,318.68244,"MP","MP",169.4306,"MP"
"241","FFs29","Fynbos",23,30,334.1964,131.6812,7.3592,5.958,2.3736,0.0220205843031224,76.865172,100.25892,"PP","PP",4.29648,"PP"
"242","Gd1","Grassland",27,30,5026.9468,4202.9276,124.5416,114.49,8.334,0.0247747996855666,1357.275636,1508.08404,"PP","PP",108.6562,"PP"
"243","Gd2","Grassland",27,30,158.3236,153.586,0,0,0,0,42.747372,47.49708,"NP","NP",0,"NP"
"244","Gd3","Grassland",27,30,2966.1812,2409.262,0,0,0,0,800.868924,889.85436,"NP","NP",0,"NP"
"245","Gd4","Grassland",27,30,6646.0524,5993.1016,650.758,645.736,8.2664,0.0979164714379923,1794.434148,1993.81572,"PP","PP",639.94952,"PP"
"246","Gd8","Grassland",27,30,4028.32,3968.614,260.9552,258.0804,0.9264,0.0647801564920364,1087.6464,1208.496,"PP","PP",257.43192,"PP"
"247","Gh2","Grassland",24,30,7162.5576,5659.8684,89.0128,61.6008,0.2336,0.0124275161151933,1719.013824,2148.76728,"PP","NP",61.43728,"NP"
"248","Gh3","Grassland",24,30,13392.4368,12357.1816,565.998,346.3804,0.122,0.0422625104342475,3214.184832,4017.73104,"PP","PP",346.295,"PP"
"249","Gm1","Grassland",24,30,3571.9108,2534.3228,22.1324,14.4092,0.0284,0.00619623535951682,857.258592,1071.57324,"NP","NP",14.38932,"NP"
"250","Gm5","Grassland",28,30,1777.134,1475.3816,190.4564,167.4764,5.1104,0.107170534129672,497.59752,533.1402,"PP","PP",163.89912,"PP"
"251","Gs10","Grassland",23,30,10944.6128,7576.2196,432.1412,385.7848,10.3088,0.0394843753631924,2517.260944,3283.38384,"PP","PP",378.56864,"PP"
"252","Gs11","Grassland",23,30,2342.158,1020.7256,131.778,89.8468,1.0708,0.0562634971679963,538.69634,702.6474,"PP","PP",89.09724,"PP"
"253","Gs12","Grassland",23,30,8728.1252,4698.084,145.8736,108.4108,9.4792,0.0167130508164571,2007.468796,2618.43756,"PP","PP",101.77536,"PP"
"254","Gs13","Grassland",23,30,492.96,148.2664,12.2632,6.8196,0.048,0.0248766634209672,113.3808,147.888,"PP","PP",6.786,"PP"
"255","Gs14","Grassland",23,30,5281.672,2135.8588,1.7296,1.5524,0,0.000327472058090696,1214.78456,1584.5016,"NP","NP",1.5524,"NP"
"256","Gs15","Grassland",23,30,6137.2616,3708.014,1.4484,1.3948,0.0588,0.000236001020389941,1411.570168,1841.17848,"NP","NP",1.35364,"NP"
"257","Gs16","Grassland",23,30,3606.2944,2980.22,28.872,27.8844,0,0.00800600195036767,829.447712,1081.88832,"NP","NP",27.8844,"NP"
"258","Gs18","Grassland",23,30,1433.932,1407.3916,0,0,0,0,329.80436,430.1796,"NP","NP",0,"NP"
"259","Gs19","Grassland",25,30,3024.2364,1334.6488,61.1404,33.922,4.3092,0.0202168058026152,756.0591,907.27092,"PP","NP",30.90556,"NP"
"260","Gs20","Grassland",25,30,6280.594,2257.522,11.6928,9.7584,0.6264,0.00186173473400764,1570.1485,1884.1782,"NP","NP",9.31992,"NP"
"261","Gs6","Grassland",23,30,5227.4684,3303.6124,159.3056,124.5456,1.6388,0.0304747131517811,1202.317732,1568.24052,"PP","PP",123.39844,"PP"
"262","Gs9","Grassland",23,30,6972.2336,2020.0288,210.0568,97.5732,5.276,0.0301276193614626,1603.613728,2091.67008,"PP","PP",93.88,"PP"
"263","CB6","Indian Ocean Coastal Belt",25,30,1121.1792,411.5112,7.1068,6.6968,0.8036,0.00633868341474762,280.2948,336.35376,"NP","NP",6.13428,"NP"
"264","CB3","Indian Ocean Coastal Belt",25,30,4141.8068,672.314,58.5304,40.6876,9.774,0.0141316103880075,1035.4517,1242.54204,"PP","NP",33.8458,"NP"
"265","CB4","Indian Ocean Coastal Belt",25,30,1299.9024,641.0904,94.7624,91.662,2.4968,0.0728996269258369,324.9756,389.97072,"PP","PP",89.91424,"PP"
"266","CB5","Indian Ocean Coastal Belt",25,30,1650.386,899.2332,25.1352,23.374,0,0.0152298916738266,412.5965,495.1158,"PP","PP",23.374,"PP"
"267","NKl4","Nama-Karoo",16,30,742.6932,683.2128,61.2,60.7268,0.0216,0.0824028010489392,118.830912,222.80796,"MP","MP",60.71168,"MP"
"268","SVs7","Savanna",25,30,7762.2768,4782.816,29.862,28.4192,0.2968,0.00384706713885802,1940.5692,2328.68304,"NP","NP",28.21144,"NP"
